Run: 0
b'30' b'5885425.000000' b'490.607325' b'1.914432' b'492.521776' b'47608'
b'40' b'5882898.000000' b'656.243019' b'2.475131' b'658.718173' b'53849'
b'50' b'5877625.000000' b'823.443338' b'3.063745' b'826.507113' b'59167'
b'60' b'5877625.000000' b'991.139873' b'3.633058' b'994.772984' b'63794'
b'70' b'5875754.000000' b'1161.243466' b'4.193763' b'1165.437288' b'68068'
b'80' b'5874319.000000' b'1328.611359' b'4.865464' b'1333.476901' b'72026'
b'90' b'5874211.000000' b'1498.925954' b'5.452916' b'1504.378954' b'75789'
b'100' b'5869894.000000' b'1670.166590' b'6.037661' b'1676.204341' b'79253'
b'110' b'5869422.000000' b'1840.149886' b'6.620949' b'1846.770929' b'82521'
b'120' b'5867522.000000' b'2012.001603' b'7.215281' b'2019.216983' b'85682'
b'130' b'5867001.000000' b'2183.009636' b'7.825378' b'2190.835131' b'88853'
b'140' b'5865785.000000' b'2354.357681' b'8.445828' b'2362.803629' b'91895'
b'150' b'5863933.000000' b'2523.215993' b'9.039968' b'2532.256089' b'94766'
b'160' b'5863933.000000' b'2694.144072' b'9.658216' b'2703.802421' b'97437'
b'170' b'5863095.000000' b'2866.659740' b'10.284464' b'2876.944342' b'100152'
b'180' b'5862813.000000' b'3037.275001' b'10.931557' b'3048.206701' b'102797'
b'190' b'5862813.000000' b'3210.688920' b'11.657952' b'3222.347033' b'105368'
b'200' b'5861022.000000' b'3387.114184' b'12.326843' b'3399.441207' b'107922'
b'210' b'5860995.000000' b'3560.640088' b'13.020496' b'3573.660773' b'110301'
b'220' b'5859527.000000' b'3734.615209' b'13.686035' b'3748.301441' b'112628'
b'230' b'5859527.000000' b'3908.364100' b'14.401475' b'3922.765779' b'114959'
b'240' b'5859527.000000' b'4081.608259' b'15.135979' b'4096.744447' b'117278'
b'250' b'5859527.000000' b'4256.722494' b'15.832316' b'4272.555023' b'119504'
b'260' b'5859527.000000' b'4432.574382' b'16.535033' b'4449.109637' b'121700'
b'270' b'5859527.000000' b'4607.940864' b'17.214029' b'4625.155120' b'123830'
b'280' b'5858625.000000' b'4786.089376' b'17.903913' b'4803.993521' b'125961'
b'290' b'5858625.000000' b'4965.370946' b'18.592498' b'4983.963683' b'128078'
