Run: 0
b'430' b'6661519.000000' b'3066.760509' b'30.982590' b'3097.743307'
b'440' b'6661519.000000' b'3132.943930' b'31.617259' b'3164.561401'
b'450' b'6661519.000000' b'3199.109746' b'32.387596' b'3231.497561'
b'460' b'6661519.000000' b'3265.467888' b'33.116944' b'3298.585054'
b'470' b'6661519.000000' b'3331.656499' b'33.864320' b'3365.521045'
b'480' b'6661519.000000' b'3397.914747' b'34.599916' b'3432.514892'
b'490' b'6660497.000000' b'3463.988449' b'35.285491' b'3499.274173'
b'500' b'6660497.000000' b'3530.424238' b'35.937718' b'3566.362194'
b'510' b'6660497.000000' b'3596.734412' b'36.615001' b'3633.349658'
b'520' b'6660497.000000' b'3663.060908' b'37.194843' b'3700.256002'
b'530' b'6660497.000000' b'3729.459790' b'37.873844' b'3767.333889'
b'540' b'6660497.000000' b'3796.084543' b'38.456160' b'3834.540963'
b'550' b'6660497.000000' b'3862.247427' b'39.038653' b'3901.286343'
b'560' b'6660497.000000' b'3928.476471' b'39.622003' b'3968.098745'
b'570' b'6660497.000000' b'3994.891746' b'40.218610' b'4035.110631'
b'580' b'6660497.000000' b'4061.566834' b'40.817669' b'4102.384781'
b'590' b'6660497.000000' b'4128.255893' b'41.417835' b'4169.674009'
b'600' b'6660497.000000' b'4194.546554' b'42.014155' b'4236.560996'
b'610' b'6660497.000000' b'4260.894996' b'42.800515' b'4303.695803'
b'620' b'6660497.000000' b'4327.082500' b'43.593120' b'4370.675914'
b'630' b'6660497.000000' b'4393.430406' b'44.342321' b'4437.773025'
b'640' b'6660497.000000' b'4459.684871' b'45.088378' b'4504.773554'
b'650' b'6660497.000000' b'4525.976831' b'45.789408' b'4571.766547'
b'660' b'6660497.000000' b'4592.156128' b'46.477805' b'4638.634245'
b'670' b'6660497.000000' b'4658.361322' b'47.337277' b'4705.698916'
b'680' b'6660497.000000' b'4724.672003' b'48.128299' b'4772.800623'
b'690' b'6660497.000000' b'4791.072034' b'48.898136' b'4839.970496'
b'700' b'6660497.000000' b'4857.383518' b'49.602557' b'4906.986402'
b'710' b'6660497.000000' b'4923.689338' b'50.222907' b'4973.912581'
b'720' b'6660497.000000' b'4989.857625' b'50.924929' b'5040.782893'
b'730' b'6660497.000000' b'5055.942425' b'51.669868' b'5107.612635'
b'740' b'6660497.000000' b'5122.336723' b'52.354418' b'5174.691502'
b'750' b'6660497.000000' b'5188.457510' b'52.971118' b'5241.428992'
b'760' b'6660497.000000' b'5254.695624' b'53.696482' b'5308.392475'
b'770' b'6660497.000000' b'5320.643786' b'54.369308' b'5375.013468'
b'780' b'6660497.000000' b'5386.854352' b'55.057438' b'5441.912166'
b'790' b'6660497.000000' b'5453.044152' b'55.746658' b'5508.791192'
b'800' b'6660497.000000' b'5519.440645' b'56.381733' b'5575.822765'
b'810' b'6660497.000000' b'5585.651303' b'57.102922' b'5642.754619'
b'820' b'6660497.000000' b'5651.788876' b'57.788253' b'5709.577526'
b'830' b'6660497.000000' b'5718.022212' b'58.651385' b'5776.674012'
