Run: 0
b'160' b'5863160.000000' b'888.070329' b'9.737930' b'897.808349'
b'170' b'5863109.000000' b'936.950262' b'10.338353' b'947.288709'
b'180' b'5863109.000000' b'985.572847' b'10.932035' b'996.504980'
b'190' b'5860315.000000' b'1034.096923' b'11.501639' b'1045.598665'
b'200' b'5860315.000000' b'1082.299392' b'12.025176' b'1094.324676'
b'210' b'5860315.000000' b'1130.386558' b'12.626062' b'1143.012733'
b'220' b'5860315.000000' b'1178.131091' b'13.162543' b'1191.293752'
b'230' b'5857740.000000' b'1226.058133' b'13.743156' b'1239.801420'
b'240' b'5857740.000000' b'1273.833069' b'14.337782' b'1288.170986'
b'250' b'5857740.000000' b'1321.596332' b'14.931296' b'1336.527770'
b'260' b'5857740.000000' b'1369.094384' b'15.513644' b'1384.608175'
b'270' b'5857740.000000' b'1416.641049' b'16.099050' b'1432.740249'
b'280' b'5857740.000000' b'1463.933759' b'16.737823' b'1480.671735'
b'290' b'5857740.000000' b'1511.471977' b'17.328737' b'1528.800871'
b'300' b'5857740.000000' b'1558.502919' b'17.939710' b'1576.442791'
b'310' b'5857740.000000' b'1605.556467' b'18.560569' b'1624.117203'
b'320' b'5857425.000000' b'1652.760140' b'19.141866' b'1671.902183'
b'330' b'5856581.000000' b'1699.895918' b'19.752710' b'1719.648812'
b'340' b'5856581.000000' b'1747.057092' b'20.335586' b'1767.392869'
b'350' b'5856581.000000' b'1794.234121' b'20.946836' b'1815.181153'
b'360' b'5856581.000000' b'1841.415484' b'21.535046' b'1862.950733'
b'370' b'5856581.000000' b'1888.507053' b'22.099003' b'1910.606264'
b'380' b'5856581.000000' b'1935.520940' b'22.687689' b'1958.208841'
b'390' b'5856581.000000' b'1982.549068' b'23.239316' b'2005.788603'
b'400' b'5856581.000000' b'2029.517135' b'23.782821' b'2053.300180'
b'410' b'5856581.000000' b'2076.422160' b'24.329277' b'2100.751665'
b'420' b'5856581.000000' b'2123.478255' b'24.908788' b'2148.387274'
b'430' b'5855501.000000' b'2170.462066' b'25.473234' b'2195.935535'
b'440' b'5855501.000000' b'2217.589930' b'26.095457' b'2243.685626'
b'450' b'5855501.000000' b'2264.411895' b'26.714404' b'2291.126544'
b'460' b'5855501.000000' b'2311.430444' b'27.356026' b'2338.786719'
b'470' b'5855501.000000' b'2358.539258' b'27.969900' b'2386.509413'
b'480' b'5855501.000000' b'2405.512154' b'28.584732' b'2434.097148'
b'490' b'5855501.000000' b'2452.502343' b'29.164252' b'2481.666879'
b'500' b'5855501.000000' b'2499.535411' b'29.739736' b'2529.275436'
b'510' b'5855501.000000' b'2546.676375' b'30.394244' b'2577.070912'
b'520' b'5855501.000000' b'2593.553552' b'30.958197' b'2624.512044'
b'530' b'5855501.000000' b'2640.568713' b'31.572091' b'2672.141103'
b'540' b'5855501.000000' b'2687.329443' b'32.117016' b'2719.446761'
b'550' b'5855501.000000' b'2734.216687' b'32.661220' b'2766.878216'
b'560' b'5855501.000000' b'2781.076955' b'33.226911' b'2814.304182'
b'570' b'5855501.000000' b'2828.185727' b'33.828773' b'2862.014819'
b'580' b'5855501.000000' b'2875.080229' b'34.444162' b'2909.524717'
b'590' b'5855501.000000' b'2922.083528' b'35.006339' b'2957.090199'
b'600' b'5855501.000000' b'2969.212842' b'35.534853' b'3004.748032'
b'610' b'5855501.000000' b'3016.198906' b'36.107787' b'3052.307038'
b'620' b'5855501.000000' b'3063.241037' b'36.625185' b'3099.866570'
b'630' b'5855501.000000' b'3110.137776' b'37.155693' b'3147.293822'
b'640' b'5855501.000000' b'3157.135870' b'37.747245' b'3194.883473'
b'650' b'5855501.000000' b'3204.201505' b'38.342636' b'3242.544506'
b'660' b'5855501.000000' b'3251.259885' b'38.913606' b'3290.173860'
b'670' b'5855501.000000' b'3298.570708' b'39.453705' b'3338.024787'
b'680' b'5855501.000000' b'3345.451427' b'39.995668' b'3385.447476'
b'690' b'5855501.000000' b'3392.222574' b'40.542885' b'3432.765845'
b'700' b'5855501.000000' b'3439.179023' b'41.099823' b'3480.279241'
b'710' b'5855501.000000' b'3486.105290' b'41.704028' b'3527.809721'
b'720' b'5855501.000000' b'3532.972667' b'42.248200' b'3575.221276'
b'730' b'5855501.000000' b'3579.966454' b'42.804189' b'3622.771061'
b'740' b'5855501.000000' b'3627.045709' b'43.355244' b'3670.401379'
b'750' b'5855501.000000' b'3674.126514' b'43.907187' b'3718.034134'
b'760' b'5855501.000000' b'3721.035374' b'44.463639' b'3765.499450'
b'770' b'5855501.000000' b'3768.261289' b'45.031026' b'3813.292760'
b'780' b'5855501.000000' b'3815.445995' b'45.601376' b'3861.047819'
b'790' b'5855501.000000' b'3862.500696' b'46.202017' b'3908.703174'
b'800' b'5855501.000000' b'3909.527247' b'46.772121' b'3956.299831'
b'810' b'5855501.000000' b'3956.456987' b'47.440120' b'4003.897573'
