Run: 0
b'570' b'5856193.000000' b'10095.883737' b'29.941074' b'10125.825198'
b'580' b'5856193.000000' b'10284.769611' b'30.475336' b'10315.245338'
b'590' b'5856193.000000' b'10475.426804' b'31.041481' b'10506.468682'
b'600' b'5856193.000000' b'10664.117712' b'31.532489' b'10695.650605'
b'610' b'5856193.000000' b'10852.069229' b'32.126587' b'10884.196225'
b'620' b'5856193.000000' b'11043.692821' b'32.614013' b'11076.307248'
b'630' b'5856193.000000' b'11234.537095' b'33.085393' b'11267.622907'
b'640' b'5856193.000000' b'11423.070584' b'33.561288' b'11456.632303'
b'650' b'5856193.000000' b'11613.751885' b'34.063435' b'11647.815753'
b'660' b'5856193.000000' b'11804.490806' b'34.539816' b'11839.031084'
b'670' b'5856193.000000' b'11995.648175' b'35.064338' b'12030.712980'
b'680' b'5856193.000000' b'12188.155770' b'35.568614' b'12223.724855'
b'690' b'5856193.000000' b'12379.894258' b'36.043360' b'12415.938095'
b'700' b'5856193.000000' b'12572.410313' b'36.533318' b'12608.944117'
b'710' b'5856193.000000' b'12765.432377' b'37.044106' b'12802.476973'
b'720' b'5856193.000000' b'12957.785399' b'37.619212' b'12995.405107'
b'730' b'5856147.000000' b'13148.935013' b'38.245791' b'13187.181305'
b'740' b'5856147.000000' b'13343.187131' b'38.754591' b'13381.942231'
