Run: 0
b'510' b'8342493.000000' b'11254.350666' b'90.618619' b'11344.969503'
b'520' b'8342493.000000' b'11458.600516' b'92.401828' b'11551.002566'
b'530' b'8342493.000000' b'11664.517211' b'94.183534' b'11758.700971'
b'540' b'8339811.000000' b'11865.137188' b'96.125228' b'11961.262655'
b'550' b'8339811.000000' b'12066.754524' b'97.896644' b'12164.651412'
b'560' b'8339811.000000' b'12265.196763' b'99.647442' b'12364.844453'
b'570' b'8339811.000000' b'12473.697134' b'101.044102' b'12574.741487'
b'580' b'8339811.000000' b'12680.642994' b'102.878462' b'12783.521710'
b'590' b'8339811.000000' b'12882.870245' b'104.683430' b'12987.553930'
b'600' b'8339811.000000' b'13086.266640' b'106.252575' b'13192.519471'
b'610' b'8339811.000000' b'13290.174973' b'107.908125' b'13398.083357'
b'620' b'8339811.000000' b'13491.253715' b'109.701344' b'13600.955321'
b'630' b'8339811.000000' b'13701.183268' b'110.973032' b'13812.156575'
b'640' b'8339811.000000' b'13906.822488' b'112.669834' b'14019.492601'
b'650' b'8339811.000000' b'14111.787774' b'114.042296' b'14225.830351'
b'660' b'8339811.000000' b'14317.959291' b'115.796544' b'14433.756118'
b'670' b'8339811.000000' b'14524.416899' b'117.537538' b'14641.954722'
b'680' b'8339811.000000' b'14731.666229' b'119.216121' b'14850.882640'
b'690' b'8339811.000000' b'14938.910715' b'120.709703' b'15059.620715'
b'700' b'8339811.000000' b'15146.573966' b'122.528881' b'15269.103151'
b'710' b'8339811.000000' b'15353.623004' b'124.162645' b'15477.785955'
b'720' b'8339811.000000' b'15559.224233' b'125.845456' b'15685.070001'
b'730' b'8339811.000000' b'15765.068661' b'127.650429' b'15892.719404'
b'740' b'8339811.000000' b'15972.672614' b'129.322855' b'16101.995787'
b'750' b'8339811.000000' b'16173.736580' b'131.092316' b'16304.829215'
b'760' b'8339811.000000' b'16376.807084' b'132.853722' b'16509.661132'
b'770' b'8339811.000000' b'16580.151699' b'134.502144' b'16714.654173'
b'780' b'8339811.000000' b'16784.261732' b'136.291256' b'16920.553320'
b'790' b'8339811.000000' b'16996.592232' b'137.668475' b'17134.261057'
b'800' b'8339811.000000' b'17203.457302' b'139.334856' b'17342.792527'
b'810' b'8338261.000000' b'17416.552888' b'141.209482' b'17557.762745'
b'820' b'8338261.000000' b'17624.769461' b'143.283039' b'17768.052877'
b'830' b'8338261.000000' b'17832.611518' b'144.940185' b'17977.552085'
b'840' b'8338261.000000' b'18035.542838' b'146.861576' b'18182.404797'
b'850' b'8338261.000000' b'18241.476545' b'148.986115' b'18390.463048'
b'860' b'8338261.000000' b'18448.184002' b'150.562675' b'18598.747069'
b'870' b'8338089.000000' b'18652.452760' b'152.326751' b'18804.779905'
b'880' b'8338089.000000' b'18856.959877' b'154.067829' b'19011.028102'
b'890' b'8338089.000000' b'19066.875768' b'155.683466' b'19222.559632'
b'900' b'8338089.000000' b'19275.301952' b'157.404027' b'19432.706379'
b'910' b'8338089.000000' b'19482.008167' b'159.238048' b'19641.246616'
b'920' b'8338089.000000' b'19687.018234' b'160.965885' b'19847.984522'
b'930' b'8338089.000000' b'19901.568800' b'162.128639' b'20063.697845'
b'940' b'8338089.000000' b'20113.417594' b'163.846346' b'20277.264348'
b'950' b'8338089.000000' b'20322.333532' b'165.434254' b'20487.768198'
b'960' b'8338089.000000' b'20530.851954' b'167.141412' b'20697.993782'
b'970' b'8338089.000000' b'20740.597628' b'168.799260' b'20909.397308'
b'980' b'8338089.000000' b'20943.376339' b'170.432778' b'21113.809540'
b'990' b'8338089.000000' b'21156.448897' b'172.178476' b'21328.627802'
b'shortest' b'tour:' b'8338089.000000' b'time' b'21523.498414'
Run: 3
b'0' b'8403085.000000' b'31.043471' b'0.109317' b'31.152789'
b'10' b'8394575.000000' b'329.724195' b'2.263510' b'331.987710'
b'20' b'8393599.000000' b'610.563106' b'4.571972' b'615.135086'
b'30' b'8387263.000000' b'878.052704' b'7.169367' b'885.222085'
b'40' b'8386179.000000' b'1141.419886' b'8.897842' b'1150.317746'
b'50' b'8378642.000000' b'1400.292679' b'10.860058' b'1411.152757'
b'60' b'8376861.000000' b'1661.988209' b'12.455148' b'1674.443381'
b'70' b'8374990.000000' b'1905.982069' b'15.347467' b'1921.329562'
b'80' b'8366970.000000' b'2141.096041' b'17.703048' b'2158.799134'
b'90' b'8366970.000000' b'2375.534914' b'19.610614' b'2395.145577'
b'100' b'8365803.000000' b'2607.003342' b'21.795531' b'2628.798926'
b'110' b'8364894.000000' b'2837.671623' b'23.729590' b'2861.401268'
b'120' b'8358971.000000' b'3063.117788' b'25.601908' b'3088.719752'
b'130' b'8355454.000000' b'3288.284349' b'27.501119' b'3315.785527'
b'140' b'8352092.000000' b'3516.029006' b'29.556068' b'3545.585135'
b'150' b'8352092.000000' b'3738.691279' b'31.199966' b'3769.891308'
b'160' b'8352092.000000' b'3962.742312' b'32.884644' b'3995.627022'
b'170' b'8352092.000000' b'4187.570121' b'34.308946' b'4221.879134'
b'180' b'8352092.000000' b'4406.962846' b'35.961940' b'4442.924856'
b'190' b'8352092.000000' b'4627.467187' b'37.273105' b'4664.740365'
b'200' b'8351765.000000' b'4834.547437' b'39.111926' b'4873.659439'
b'210' b'8349789.000000' b'5047.814386' b'41.012197' b'5088.826662'
b'220' b'8349789.000000' b'5262.418631' b'42.953532' b'5305.372246'
b'230' b'8349789.000000' b'5476.879931' b'44.750697' b'5521.630716'
b'240' b'8347151.000000' b'5691.044025' b'46.521181' b'5737.565303'
b'250' b'8347151.000000' b'5903.550485' b'48.271910' b'5951.822496'
b'260' b'8347151.000000' b'6117.183790' b'50.022159' b'6167.206064'
b'270' b'8347151.000000' b'6329.271761' b'51.921598' b'6381.193490'
b'280' b'8344299.000000' b'6538.657967' b'53.690868' b'6592.348970'
b'290' b'8344299.000000' b'6750.516010' b'55.279553' b'6805.795701'
b'300' b'8344299.000000' b'6963.490917' b'57.066022' b'7020.557081'
b'310' b'8344299.000000' b'7171.463112' b'58.919844' b'7230.383100'
b'320' b'8344299.000000' b'7379.857238' b'60.748904' b'7440.606290'
b'330' b'8343540.000000' b'7586.761584' b'62.473552' b'7649.235286'
b'340' b'8343540.000000' b'7796.528113' b'63.964997' b'7860.493262'
b'350' b'8343540.000000' b'8006.736910' b'65.716250' b'8072.453315'
b'360' b'8341444.000000' b'8218.316221' b'67.288069' b'8285.604449'
b'370' b'8341444.000000' b'8431.610908' b'68.603756' b'8500.214826'
b'380' b'8341444.000000' b'8633.601076' b'70.289290' b'8703.890532'
b'390' b'8341444.000000' b'8840.668425' b'72.342610' b'8913.011203'
b'400' b'8341444.000000' b'9051.735799' b'74.056578' b'9125.792550'
b'410' b'8341444.000000' b'9260.035715' b'75.667217' b'9335.703108'
b'420' b'8341444.000000' b'9475.246616' b'76.871438' b'9552.118232'
b'430' b'8341444.000000' b'9681.434442' b'78.899160' b'9760.333783'
b'440' b'8340844.000000' b'9894.227615' b'80.236241' b'9974.464042'
b'450' b'8340844.000000' b'10105.167912' b'82.070138' b'10187.238240'
b'460' b'8340844.000000' b'10314.882692' b'83.487566' b'10398.370451'
b'470' b'8340844.000000' b'10516.424783' b'85.194975' b'10601.619954'
b'480' b'8340844.000000' b'10716.268533' b'86.927095' b'10803.195826'
b'490' b'8340844.000000' b'10928.140277' b'88.481575' b'11016.622053'
b'500' b'8340844.000000' b'11139.907322' b'89.787883' b'11229.695407'
b'510' b'8340844.000000' b'11347.839575' b'91.570675' b'11439.410455'
b'520' b'8340844.000000' b'11554.609855' b'93.541363' b'11648.151428'
b'530' b'8340844.000000' b'11761.844278' b'95.097809' b'11856.942301'
b'540' b'8340844.000000' b'11965.031187' b'96.634114' b'12061.665519'
b'550' b'8340844.000000' b'12169.729843' b'98.408386' b'12268.138451'
b'560' b'8340844.000000' b'12377.705826' b'99.954909' b'12477.660960'
b'570' b'8340844.000000' b'12576.193779' b'101.733658' b'12677.927663'
b'580' b'8339470.000000' b'12785.124959' b'103.458050' b'12888.583238'
b'590' b'8339470.000000' b'12992.429732' b'105.256782' b'13097.686746'
b'600' b'8339470.000000' b'13195.575144' b'106.915380' b'13302.490759'
b'610' b'8339470.000000' b'13397.604723' b'108.712114' b'13506.317075'
b'620' b'8339470.000000' b'13603.428732' b'110.149141' b'13713.578115'
b'630' b'8339470.000000' b'13804.584907' b'111.936218' b'13916.521373'
b'640' b'8339470.000000' b'14004.676237' b'113.677173' b'14118.353660'
b'650' b'8339324.000000' b'14209.369876' b'115.522592' b'14324.892721'
b'660' b'8339324.000000' b'14410.565788' b'117.399910' b'14527.965954'
b'670' b'8339324.000000' b'14620.026741' b'118.766685' b'14738.793688'
b'680' b'8339324.000000' b'14821.989410' b'120.620141' b'14942.609818'
b'690' b'8339324.000000' b'15024.055330' b'122.365420' b'15146.421022'
b'700' b'8339324.000000' b'15230.719601' b'123.996086' b'15354.715961'
b'710' b'8339324.000000' b'15441.436709' b'125.652073' b'15567.089071'
b'720' b'8339324.000000' b'15653.641370' b'127.355500' b'15780.997161'
b'730' b'8339324.000000' b'15861.037806' b'129.232978' b'15990.271077'
b'740' b'8339324.000000' b'16073.270495' b'131.074055' b'16204.344847'
