Run: 0
b'680' b'5855131.000000' b'3345.484512' b'40.235987' b'3385.720970'
b'690' b'5855131.000000' b'3392.294316' b'40.865237' b'3433.160030'
b'700' b'5855131.000000' b'3439.219483' b'41.480078' b'3480.700043'
b'710' b'5855131.000000' b'3486.288293' b'42.131945' b'3528.420729'
b'720' b'5855131.000000' b'3533.321310' b'42.715859' b'3576.037670'
b'730' b'5855131.000000' b'3580.363349' b'43.291310' b'3623.655165'
b'740' b'5855131.000000' b'3627.433341' b'43.904389' b'3671.338241'
b'750' b'5855131.000000' b'3674.449281' b'44.503143' b'3718.952939'
b'760' b'5855131.000000' b'3721.395586' b'45.051563' b'3766.447670'
b'770' b'5855131.000000' b'3768.276575' b'45.597724' b'3813.874829'
b'780' b'5855131.000000' b'3815.452566' b'46.144804' b'3861.597924'
b'790' b'5855020.000000' b'3862.407699' b'46.692497' b'3909.100752'
b'800' b'5855020.000000' b'3909.473619' b'47.244916' b'3956.719093'
b'810' b'5855020.000000' b'3956.675215' b'47.801837' b'4004.477617'
b'820' b'5855020.000000' b'4003.622680' b'48.345206' b'4051.968459'
b'830' b'5855020.000000' b'4050.661931' b'48.976741' b'4099.639248'
b'840' b'5855020.000000' b'4097.602927' b'49.593923' b'4147.197435'
b'850' b'5855020.000000' b'4144.686275' b'50.259871' b'4194.946764'
b'860' b'5855020.000000' b'4191.526304' b'50.858836' b'4242.385763'
b'870' b'5855020.000000' b'4238.471802' b'51.472804' b'4289.945235'
b'880' b'5855020.000000' b'4285.461621' b'52.047364' b'4337.509622'
b'890' b'5855020.000000' b'4332.370564' b'52.693175' b'4385.064378'
b'900' b'5855020.000000' b'4379.230551' b'53.274657' b'4432.505850'
b'910' b'5855020.000000' b'4426.189547' b'53.826433' b'4480.016631'
b'920' b'5855020.000000' b'4473.055622' b'54.346419' b'4527.402699'
b'930' b'5855020.000000' b'4519.927624' b'54.893409' b'4574.821696'
b'940' b'5855020.000000' b'4566.918336' b'55.395186' b'4622.314190'
b'950' b'5855020.000000' b'4614.035767' b'55.978632' b'4670.015074'
b'960' b'5855020.000000' b'4660.927967' b'56.634662' b'4717.563310'
b'970' b'5855020.000000' b'4707.879572' b'57.246529' b'4765.126788'
b'980' b'5855020.000000' b'4755.020662' b'57.855500' b'4812.876872'
b'990' b'5855020.000000' b'4801.987042' b'58.391488' b'4860.379242'
b'shortest' b'tour:' b'5855020.000000' b'time' b'4903.677152'
Run: 3
b'0' b'5891753.000000' b'6.724955' b'0.054246' b'6.779201'
b'10' b'5888910.000000' b'72.207392' b'0.813318' b'73.020714'
b'20' b'5888233.000000' b'135.630229' b'1.428585' b'137.058820'
b'30' b'5886964.000000' b'197.222347' b'2.101691' b'199.324049'
b'40' b'5883672.000000' b'256.680169' b'2.695906' b'259.376106'
b'50' b'5880507.000000' b'314.462170' b'3.301367' b'317.763575'
b'60' b'5878503.000000' b'370.940413' b'3.957828' b'374.898284'
b'70' b'5875637.000000' b'426.121909' b'4.519680' b'430.641638'
b'80' b'5873689.000000' b'480.259342' b'5.344018' b'485.603428'
b'90' b'5870385.000000' b'533.742045' b'5.810288' b'539.552406'
b'100' b'5870104.000000' b'586.056425' b'6.293970' b'592.350471'
b'110' b'5868909.000000' b'637.467082' b'6.983762' b'644.450924'
b'120' b'5867208.000000' b'688.466808' b'7.580356' b'696.047251'
b'130' b'5866576.000000' b'738.812723' b'8.166160' b'746.978986'
b'140' b'5866007.000000' b'788.715943' b'8.660341' b'797.376390'
b'150' b'5864754.000000' b'838.188286' b'9.213908' b'847.402302'
b'160' b'5864305.000000' b'887.203391' b'9.710123' b'896.913627'
b'170' b'5863832.000000' b'936.010866' b'10.209125' b'946.220122'
b'180' b'5862673.000000' b'984.741650' b'10.711528' b'995.453327'
b'190' b'5861784.000000' b'1033.228959' b'11.207972' b'1044.437085'
b'200' b'5860500.000000' b'1081.432758' b'11.710829' b'1093.143750'
b'210' b'5860500.000000' b'1129.380203' b'12.342528' b'1141.722900'
b'220' b'5859974.000000' b'1177.268942' b'12.907039' b'1190.176155'
b'230' b'5859974.000000' b'1225.312214' b'13.469628' b'1238.782020'
b'240' b'5859325.000000' b'1273.025344' b'14.054674' b'1287.080198'
b'250' b'5859325.000000' b'1320.465974' b'14.589353' b'1335.055511'
b'260' b'5859325.000000' b'1368.005167' b'15.303627' b'1383.308983'
b'270' b'5858551.000000' b'1415.410384' b'15.853499' b'1431.264089'
b'280' b'5857438.000000' b'1462.836684' b'16.308235' b'1479.145134'
b'290' b'5857086.000000' b'1510.111284' b'16.979996' b'1527.091502'
b'300' b'5857086.000000' b'1557.298614' b'17.631837' b'1574.930676'
b'310' b'5857086.000000' b'1604.641500' b'18.277476' b'1622.919204'
b'320' b'5857086.000000' b'1651.987692' b'18.818688' b'1670.806612'
b'330' b'5857086.000000' b'1699.146492' b'19.408589' b'1718.555317'
b'340' b'5857086.000000' b'1746.413368' b'19.942178' b'1766.355788'
b'350' b'5857086.000000' b'1793.545078' b'20.540193' b'1814.085516'
b'360' b'5857086.000000' b'1840.685177' b'21.143356' b'1861.828782'
b'370' b'5857086.000000' b'1887.808819' b'21.689493' b'1909.498566'
b'380' b'5856921.000000' b'1934.732615' b'22.287146' b'1957.020019'
b'390' b'5856921.000000' b'1981.765454' b'22.857972' b'2004.623687'
b'400' b'5856921.000000' b'2028.717915' b'23.483381' b'2052.201564'
b'410' b'5856921.000000' b'2075.792872' b'24.060839' b'2099.853980'
b'420' b'5856921.000000' b'2122.731405' b'24.648634' b'2147.380310'
b'430' b'5856921.000000' b'2169.825207' b'25.175468' b'2195.000949'
b'440' b'5856921.000000' b'2216.824285' b'25.695517' b'2242.520082'
b'450' b'5855821.000000' b'2263.640873' b'26.227915' b'2289.869074'
b'460' b'5855821.000000' b'2310.526427' b'26.762003' b'2337.288720'
b'470' b'5855821.000000' b'2357.541562' b'27.313701' b'2384.855556'
b'480' b'5855821.000000' b'2404.370864' b'27.919024' b'2432.290186'
b'490' b'5855821.000000' b'2451.313219' b'28.485273' b'2479.798797'
b'500' b'5855821.000000' b'2498.385451' b'29.012432' b'2527.398193'
b'510' b'5855821.000000' b'2545.306063' b'29.612798' b'2574.919173'
b'520' b'5855821.000000' b'2592.323208' b'30.146314' b'2622.469838'
b'530' b'5855821.000000' b'2639.280064' b'30.664885' b'2669.945268'
b'540' b'5855821.000000' b'2686.113860' b'31.224069' b'2717.338251'
b'550' b'5855821.000000' b'2733.073414' b'31.820099' b'2764.893839'
b'560' b'5855821.000000' b'2780.022885' b'32.415527' b'2812.438741'
b'570' b'5855821.000000' b'2827.069336' b'32.944674' b'2860.014342'
b'580' b'5855821.000000' b'2874.164281' b'33.514556' b'2907.679174'
b'590' b'5855821.000000' b'2921.380256' b'34.006626' b'2955.387241'
b'600' b'5855821.000000' b'2968.369731' b'34.504778' b'3002.874872'
b'610' b'5855821.000000' b'3015.243581' b'35.087853' b'3050.331817'
b'620' b'5855517.000000' b'3062.113254' b'35.722015' b'3097.835655'
b'630' b'5855517.000000' b'3109.230823' b'36.257155' b'3145.488373'
b'640' b'5855517.000000' b'3156.134856' b'36.827466' b'3192.962724'
b'650' b'5855517.000000' b'3202.850080' b'37.420266' b'3240.270750'
b'660' b'5855517.000000' b'3250.024403' b'38.058519' b'3288.083334'
b'670' b'5855517.000000' b'3296.958488' b'38.603348' b'3335.562251'
b'680' b'5855517.000000' b'3343.988519' b'39.156028' b'3383.144966'
b'690' b'5855517.000000' b'3390.892226' b'39.772972' b'3430.665622'
b'700' b'5855517.000000' b'3437.628696' b'40.345576' b'3477.974700'
b'710' b'5855517.000000' b'3484.360402' b'40.884326' b'3525.245163'
b'720' b'5855517.000000' b'3531.128097' b'41.469761' b'3572.598299'
b'730' b'5855517.000000' b'3577.948583' b'42.041818' b'3619.990865'
b'740' b'5855517.000000' b'3624.837906' b'42.659241' b'3667.497616'
b'750' b'5855517.000000' b'3671.660400' b'43.235452' b'3714.896322'
b'760' b'5855517.000000' b'3718.669417' b'43.804887' b'3762.474779'
b'770' b'5855517.000000' b'3765.761396' b'44.345764' b'3810.107640'
